id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,,,,,,,,,,,,,,,,,,,,,,,
300512,ZUJZ,medium_airport,Jiuzhai Huanglong Airport,32.853333,103.682222,11327,AS,China,CN,Sichuan Province,CN-51,51,Ngawa (Songpan),1,ZUJZ,JZH,,,,,,,,,,,,,,,,,,,,,,,
32723,ZHYC,medium_airport,Yichang Sanxia Airport,30.554132,111.482563,673,AS,China,CN,Hubei Province,CN-42,42,Yichang (Xiaoting),1,ZHYC,YIH,,,,,,,,,,,,,,,,,,,,,,,
32299,ZLSN,medium_airport,Xi'an Xiguan Airport,34.376701,109.120003,,AS,China,CN,Shaanxi Province,CN-61,61,Xi'an (Baqiao),0,ZLSN,SIA,,,,,,,,,,,,,,,,,,,,,,,
27229,ZUGY,large_airport,Guiyang Longdongbao International Airport,26.541466,106.803331,3736,AS,China,CN,Guizhou Province,CN-52,52,Guiyang (Nanming),1,ZUGY,KWE,,,,,,,,,,,,,,,,,,,,,,,
27189,ZBHH,large_airport,Hohhot Baita International Airport,40.849658,111.824598,3556,AS,China,CN,Inner Mongolia Autonomous Region,CN-15,15,Hohhot,1,ZBHH,HET,,,,,,,,,,,,,,,,,,,,,,,
27216,ZSCN,large_airport,Nanchang Changbei International Airport,28.864815,115.90271,143,AS,China,CN,Jiangxi Province,CN-36,36,Nanchang,1,ZSCN,KHN,,,,,,,,,,,,,,,,,,,,,,,
32006,ZBBB,medium_airport,Beijing Xijiao Airport,39.9608,116.257004,,AS,China,CN,Beijing Municipality,CN-11,11,Beijing,0,ZBBB,,,,,,,,,,,,,,,,,,,,,,,,
32709,ZLXN,medium_airport,Xining Caojiabao International Airport,36.528295,102.040157,7119,AS,China,CN,Qinghai Province,CN-63,63,Haidong (Huzhu Tu Autonomous County),1,ZLXN,XNN,,,,,,,,,,,,,,,,,,,,,,,
30871,ZSCG,medium_airport,Changzhou Benniu International Airport,31.919701,119.778999,,AS,China,CN,Jiangsu Province,CN-32,32,Changzhou,1,ZSCG,CZX,,,,,,,,,,,,,,,,,,,,,,,
30925,ZPDL,medium_airport,Dali Fengyi Airport,25.649401,100.319,7050,AS,China,CN,Yunnan Province,CN-53,53,Dali (Xiaguan),1,ZPDL,DLU,,,,,,,,,,,,,,,,,,,,,,,
44159,CN-0081,medium_airport,Jinggangshan Airport,26.856899,114.737,281,AS,China,CN,Jiangxi Province,CN-36,36,Ji'an,1,ZSJA,JGS,,,,,,,,,,,,,,,,,,,,,,,
31705,ZSQZ,medium_airport,Quanzhou Jinjiang International Airport,24.7964,118.589996,,AS,China,CN,Fujian Province,CN-35,35,Quanzhou,1,ZSQZ,JJN,,,,,,,,,,,,,,,,,,,,,,,
32684,ZSWX,medium_airport,Sunan Shuofang International Airport,31.49440002,120.4290009,24,AS,China,CN,Jiangsu Province,CN-32,32,Wuxi,1,ZSWX,WUX,,,,,,,,,,,,,,,,,,,,,,,
27227,ZSYT,small_airport,Yantai Laishan Airport,37.396825,121.369571,59,AS,China,CN,Shandong Province,CN-37,37,Yantai,0,,,,,,,,,,,,,,,,,,,,,,,,,
35146,CN-0001,closed,Old Guangzhou Baiyun International Airport,23.1842,113.265999,,AS,China,CN,Guangdong Province,CN-44,44,Guangzhou (Baiyun),0,,,,,,,,,,,,,,,,,,,,,,,,,
